Index,hour 1,hour 2,hour 3,hour 4,hour 5,hour 6,hour 7,hour 8,hour 9,hour 10,hour 11,hour 12,hour 13,hour 14,hour 15,hour 16,hour 17,hour 18,hour 19,hour 20,hour 21,hour 22,hour 23,hour 24
1,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800
2,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200
3,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600
4,800,800,800,800,800,800,900,1000,1100,1100,1200,1200,1200,1200,1300,1400,1400,1500,1600,1400,1200,1000,900,800
5,1794.10762,1862.47122,1806.82178,1739.01016,1823.98447,1708.92994,1890.72614,1703.4679,1700.38983,1765.57046,1768.26234,1896.3198,1789.13663,1845.13888,1772.5411,1868.28224,1794.30215,1750.47475,1800.97,1764.40495,1805.76049,1832.20654,1778.71649,1837.72191
6,1219.54095,1238.47689,1272.7549,1269.45487,1188.47954,1135.34287,1112.2844,1211.44216,1214.21138,1254.71268,1261.52638,1292.08415,1156.27102,1286.1557,1154.46074,1153.67476,1240.71884,1185.67006,1274.74452,1291.49782,1222.52947,1155.74801,1242.05452,1189.78308
7,631.1270273,551.0159898,621.904409,599.3888659,561.8604481,596.2629697,568.5512834,569.8577068,646.6054826,609.5301424,605.1001923,576.097095,623.5937113,562.7620639,563.1745781,580.6665535,559.8240839,606.4174911,579.6964938,561.7811776,562.6062593,571.210936,642.4250889,641.7364745
8,868.373819,868.36831,720.129636,818.394674,728.47379,778.300616,872.939014,900.564399,1092.86054,1100.20183,1257.18499,1235.15418,1198.10622,1114.97543,1319.15638,1313.99964,1423.18569,1501.67512,1650.99741,1440.93786,1265.7374,1021.90149,801.714774,780.166393
9,468.373819,468.36831,320.129636,418.394674,328.47379,378.300616,472.939014,500.564399,692.86054,700.20183,857.18499,835.15418,798.10622,714.97543,919.15638,913.99964,1023.18569,1101.67512,1250.99741,1040.93786,865.7374,621.90149,401.714774,380.166393
10,1801.408548,1759.304464,1752.776093,1816.597565,1783.575875,1805.133372,1751.704987,1762.895594,1830.435895,1810.745361,1760.52951,1801.841714,1838.25356,1811.460976,1793.045261,1795.509307,1775.455533,1835.050183,1790.141493,1774.619735,1786.387435,1790.840652,1840.933182,1774.160641
11,1179.562079,1212.165912,1214.594433,1206.238016,1166.750629,1193.615355,1222.256515,1225.879874,1150.031053,1195.698127,1240.445598,1209.878839,1236.7908,1244.009903,1248.854822,1232.605828,1216.462056,1173.401001,1220.149535,1205.471817,1151.81408,1225.96564,1242.65653,1226.685692
12,838.3568313,798.7202084,761.7977104,772.4627907,820.5285242,805.2631111,924.9631895,979.8743223,1112.668304,1061.260815,1157.607809,1194.519613,1170.696257,1222.329627,1346.809572,1432.086101,1354.790045,1475.865386,1559.087763,1393.479403,1211.981511,988.109044,864.1603257,790.3962928
13,1800,1750,1700,1680,1700,1750,1800,1700,1600,1500,1400,1350,1300,1280,1300,1400,1500,1600,1700,1800,1750,1700,1650,1600
14,1400,1350,1300,1280,1300,1350,1400,1300,1200,1100,1000,950,900,880,900,1000,1100,1200,1300,1400,1350,1300,1250,1200
15,1000,950,900,880,900,950,1000,900,800,700,600,550,500,480,500,600,700,800,900,1000,950,900,850,800
16,800,800,800,800,800,800,900,1000,1100,1100,1200,1200,1200,1200,1300,1400,1400,1500,1600,1400,1200,1000,900,800
17,600,600,600,600,600,600,700,800,900,900,1000,1000,1000,1000,1100,1200,1200,1300,1400,1200,1000,800,700,600
18,400,400,400,400,400,400,500,600,700,700,800,800,800,800,900,1000,1000,1100,1200,1000,800,600,500,400